Category,Factor,breakout_v1_ACTIVE,Canonical_breakout,Strict_breakout,pullback_v1_ACTIVE,Shallow_pullback,Fib_pullback,trend_v1_ACTIVE,Template_trend,consolidation_v1_ACTIVE,Strict_consolidation,Source_File_Refs
Step 3 — Universal Pre-Gates,exclude_benchmarks,Removed — was dead [DEAD],Removed — was dead [DEAD],Removed — was dead [DEAD],Removed — was dead [DEAD],Removed — was dead [DEAD],Removed — was dead [DEAD],Removed — was dead [DEAD],Removed — was dead [DEAD],Removed — was dead [DEAD],Removed — was dead [DEAD],"REMOVED 2026-07-07 (CODER_NOTE v3 item 4) — was dead (never read by _parse_universe_config); proven byte-identical before removal, then deleted from _UNIVERSE_BLOCK"
Step 3 — Routing Pre-Filters — Coarse filter deciding which Step-4 validator(s) run — identical regardless of which config is active for that type,,,,,,,,,,,,
Step 3 — Routing Pre-Filters,breakout_proximity ≥ -1.0 AND range_duration ≥ 10,Used [HC],Used [HC],Used [HC],—,—,—,—,—,—,—,step3_universal_eligibility.py:344-347
Step 3 — Routing Pre-Filters,close>ema200 AND -0.20≤pullback≤-0.02 AND ema20>ema50,—,—,—,Used [HC],Used [HC],Used [HC],—,—,—,—,step3_universal_eligibility.py:350-358
Step 3 — Routing Pre-Filters,ema_alignment_score≥50 AND ema50_slope>0 AND close>ema50,—,—,—,—,—,—,Used [HC],Used [HC],—,—,step3_universal_eligibility.py:361-368
Step 3 — Routing Pre-Filters,range_tightness_score≥50 AND range_duration≥10,—,—,—,—,—,—,—,—,Used [HC],Used [HC],step3_universal_eligibility.py:371-374
Market Regime — Computed by Module 12; identical treatment regardless of which config is active,,,,,,,,,,,,
Market Regime,market_regime at Step 3/4,"Pass-through only, not a gate [HC]","Pass-through only, not a gate [HC]","Pass-through only, not a gate [HC]","Pass-through only, not a gate [HC]","Pass-through only, not a gate [HC]","Pass-through only, not a gate [HC]","Pass-through only, not a gate [HC]","Pass-through only, not a gate [HC]","Pass-through only, not a gate [HC]","Pass-through only, not a gate [HC]",feature_engine.py:1133 · never in hard_fails in m14_setup_validators.py
Market Regime,market_regime at Step 5 (block extreme_risk / block if NULL),Universal hard gate [CFG],Universal hard gate [CFG],Universal hard gate [CFG],Universal hard gate [CFG],Universal hard gate [CFG],Universal hard gate [CFG],Universal hard gate [CFG],Universal hard gate [CFG],Universal hard gate [CFG],Universal hard gate [CFG],risk_label_config.buy_rules · default_configs.py:392-397
Market Regime,"VIX regime thresholds (high=25, extreme=30)",Universal [CFG],Universal [CFG],Universal [CFG],Universal [CFG],Universal [CFG],Universal [CFG],Universal [CFG],Universal [CFG],Universal [CFG],Universal [CFG],risk_label_config.market_regime · default_configs.py:398-401
"Step 4 — Shared Scoring Adjustments — Identical mechanism reused by all validators; same _EARNINGS_BLOCK/_MACRO_BLOCK constant reused by every preset too. Fixed 2026-07-07 (CODER_NOTE v3 item 6): both rows below now resolve via risk_label_config first, falling back to the setup_config's own copy shown here — risk_label_config_v1 (active today) carries neither key, so nothing changes until a human explicitly activates risk_label_config_v2 (seeded, inactive)",,,,,,,,,,,,
Step 4 — Shared Scoring Adjustments,Earnings-window penalty: avoid_within_bd,default 5 days [CFG],default 5 days [CFG],default 5 days [CFG],default 5 days [CFG],default 5 days [CFG],default 5 days [CFG],default 5 days [CFG],default 5 days [CFG],default 5 days [CFG],default 5 days [CFG],"earnings.avoid_within_bd · m14_setup_validators.py:200-208,219-236 (_resolve_earnings_macro_cfg dual-read) · risk_label_config_v2 template: default_configs.py"
Step 4 — Shared Scoring Adjustments,Earnings penalty: penalty_points_max,default –15 [CFG],default –15 [CFG],default –15 [CFG],default –15 [CFG],default –15 [CFG],default –15 [CFG],default –15 [CFG],default –15 [CFG],default –15 [CFG],default –15 [CFG],default_configs.py:39 (fallback) / risk_label_config_v2.earnings (preferred once active)
Step 4 — Shared Scoring Adjustments,Macro event penalty: enabled,default True [CFG],default True [CFG],default True [CFG],default True [CFG],default True [CFG],default True [CFG],default True [CFG],default True [CFG],default True [CFG],default True [CFG],default_configs.py:43 (fallback) / risk_label_config_v2.macro_event_risk (preferred once active)
Step 4 — Shared Scoring Adjustments,Macro event penalty: points,default –10 [CFG],default –10 [CFG],default –10 [CFG],default –10 [CFG],default –10 [CFG],default –10 [CFG],default –10 [CFG],default –10 [CFG],default –10 [CFG],default –10 [CFG],m14_setup_validators.py:213 (fallback) / risk_label_config_v2.macro_event_risk (preferred once active)
Step 4 — Shared Scoring Adjustments,risk_label_config_v2 (shared earnings/macro source),"Seeded, NOT active — pending human activation [CFG]","Seeded, NOT active — pending human activation [CFG]","Seeded, NOT active — pending human activation [CFG]","Seeded, NOT active — pending human activation [CFG]","Seeded, NOT active — pending human activation [CFG]","Seeded, NOT active — pending human activation [CFG]","Seeded, NOT active — pending human activation [CFG]","Seeded, NOT active — pending human activation [CFG]","Seeded, NOT active — pending human activation [CFG]","Seeded, NOT active — pending human activation [CFG]","new 2026-07-07 · ConfigService.seed_risk_label_config_v2() — always active_flag=FALSE, never auto-activated · values identical to every setup_config's own copy by construction, so activating it is zero-behavior-change"
Step 4 — Shared Scoring Adjustments,Fundamentals soft adjustment: enabled/weight,default disabled / 0.0 [CFG],default disabled / 0.0 [CFG],default disabled / 0.0 [CFG],default disabled / 0.0 [CFG],default disabled / 0.0 [CFG],default disabled / 0.0 [CFG],default disabled / 0.0 [CFG],default disabled / 0.0 [CFG],default disabled / 0.0 [CFG],default disabled / 0.0 [CFG],m14_setup_validators.py:233-299 — no-op unless a config opts in
Step 4 — Shared Scoring Adjustments,Piotroski F-score component,0–9 raw → 0–100 [COMP],0–9 raw → 0–100 [COMP],0–9 raw → 0–100 [COMP],0–9 raw → 0–100 [COMP],0–9 raw → 0–100 [COMP],0–9 raw → 0–100 [COMP],0–9 raw → 0–100 [COMP],0–9 raw → 0–100 [COMP],0–9 raw → 0–100 [COMP],0–9 raw → 0–100 [COMP],m14_setup_validators.py:259-261
Step 4 — Shared Scoring Adjustments,Altman Z-Score zones (safe 2.9 / distress 1.23),Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],"m14_setup_validators.py:223-224,263-272"
Step 4 — Shared Scoring Adjustments,Valuation-band quality map (cheap 100 / fair 60 / expensive 20),Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],"m14_setup_validators.py:225-230,274-276"
Step 4 — Shared Scoring Adjustments,EPS growth trend / leverage ratio quality,Used [COMP],Used [COMP],Used [COMP],Used [COMP],Used [COMP],Used [COMP],Used [COMP],Used [COMP],Used [COMP],Used [COMP],m14_setup_validators.py:278-284 · ticker_fundamentals table
Step 4 — Shared Scoring Adjustments,"Confidence label thresholds (high≥75, medium≥50)",Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],Used [HC],"m14_setup_validators.py:61-62,65-81"
Step 4 — Shared Scoring Adjustments,min_setup_score (final pass/fail gate),55 [CFG],55 [CFG],65 [CFG],55 [CFG],55 [CFG],55 [CFG],55 [CFG],65 [CFG],55 [CFG],60 [CFG],"validation.min_setup_score · default_configs.py:70,99,130,162 + PRESET_SETUP_CONFIGS"
Step 4 — Shared Scoring Adjustments,Scoring component weights (sum ≈ 1.0),"Used, identical to V1 [CFG]","Used, identical to V1 [CFG]","Used, identical to V1 [CFG]","Used, identical to V1 [CFG]","Used, identical to V1 [CFG]","Used, identical to V1 [CFG]","Used, identical to V1 [CFG]","Used, RS raised to .30 (was .20); extension .10 (was .15); volume_health .05 (was .10) [CFG]","Used, identical to V1 [CFG]","Used, identical to V1 [CFG]",scoring_weights block · enforced in config_service.py:568-573
RVOL Treatment — Deliberately different per setup type (AD-22.23); every preset keeps its family's policy — only the bar moves,,,,,,,,,,,,
RVOL Treatment,RVOL as hard gate (min_rvol_breakout),"Hard, 1.5 [CFG]","Hard, 1.5 [CFG]","Hard, 2.0 [CFG]",—,—,—,—,—,—,—,m14_setup_validators.py:442-446
RVOL Treatment,RVOL as soft bonus only (rvol_bonus_threshold),—,—,—,"Soft, 1.3 [CFG]/[HC]","Soft, 1.3 [CFG]/[HC]","Soft, 1.3 [CFG]/[HC]",—,—,—,—,"m14_setup_validators.py:632-635,813-817 — rvol_is_hard force-overridden False at runtime regardless of config (unchanged, kept as defense-in-depth)"
RVOL Treatment,rvol_is_hard=True rejected at config-authoring time (pullback only),—,—,—,New — hard-rejects at validate_setup_config() [CFG],New — hard-rejects at validate_setup_config() [CFG],New — hard-rejects at validate_setup_config() [CFG],—,—,—,—,"fixed 2026-07-07 (CODER_NOTE v3 item 3) — new ConfigService.validate_setup_config() check; creation-time only (zero production callers confirmed), so it cannot invalidate any already-active config · config_service.py:568-583"
RVOL Treatment,RVOL as soft volume_health only (rvol_moderate_threshold),—,—,—,—,—,—,"Soft, 1.2 [CFG]","Soft, 1.2 [CFG]",—,—,m14_setup_validators.py:1080-1085
RVOL Treatment,RVOL required at all,—,—,—,—,—,—,—,—,"Never required, not even soft [HC]","Never required, not even soft [HC]","m14_setup_validators.py:1217,1320,1410"
Stop Floor — Shared mechanism; fixed 2026-07-07 — key is now explicit in every seeded config incl. all 6 presets (previously relied on a silent hardcoded fallback),,,,,,,,,,,,
Stop Floor,min_atr_stop_floor_multiple (stop ≥ N×ATR below entry),"Hard, 0.5 [CFG]","Hard, 0.5 [CFG]","Hard, 0.5 [CFG]","Hard, 0.5 [CFG]","Hard, 0.5 [CFG]","Hard, 0.5 [CFG]","Hard, 0.5 [CFG]","Hard, 0.5 [CFG]","Hard, 0.3 [CFG]","Hard, 0.3 [CFG]",breakout:448 pullback:727 trend:1028 consolidation:1306 · now seeded explicitly in default_configs.py
"Step 5 — Stop/Target Sizing Inputs — Position-sizing math, not an eligibility gate — read from the same setup_config.validation block by step5_proposal_engine.py",,,,,,,,,,,,
Step 5 — Stop/Target Sizing Inputs,k_atr_stop (ATR multiple for structural stop),1.0 [CFG],1.0 [CFG],1.0 [CFG],1.2 [CFG],1.2 [CFG],1.2 [CFG],1.5 [CFG],1.5 [CFG],1.0 [CFG],1.0 [CFG],"step5_proposal_engine.py:411, fallback 1.0"
Step 5 — Stop/Target Sizing Inputs,buffer_atr_multiple,0.25 [CFG],0.25 [CFG],0.25 [CFG],0.25 [CFG],0.25 [CFG],0.25 [CFG],0.25 [CFG],0.25 [CFG],0.25 [CFG],0.25 [CFG],"step5_proposal_engine.py:412, fallback 0.25"
Step 5 — Stop/Target Sizing Inputs,min_rr (fixed-R fallback target multiple),1.8 [CFG],1.8 [CFG],2.0 [CFG],1.8 [CFG],1.8 [CFG],1.8 [CFG],1.8 [CFG],1.8 [CFG],1.8 [CFG],1.8 [CFG],"step5_proposal_engine.py:413, fallback 1.8"
Step 5 — Stop/Target Sizing Inputs,max_stop_distance_pct — setup_config's own copy,Removed — was inert [DEAD],Removed — was inert [DEAD],Removed — was inert [DEAD],Removed — was inert [DEAD],Removed — was inert [DEAD],Removed — was inert [DEAD],Removed — was inert [DEAD],Removed — was inert [DEAD],Removed — was inert [DEAD],Removed — was inert [DEAD],"REMOVED 2026-07-07 (CODER_NOTE v3 item 1) — was inert (step5_proposal_engine.py never read it); proven byte-identical before removal, then deleted from every v1 config + all 6 presets"
Step 5 — Stop/Target Sizing Inputs,max_stop_distance_pct — the REAL BUY/WATCHLIST hard gate,0.10 [CFG],0.10 [CFG],0.10 [CFG],0.10 [CFG],0.10 [CFG],0.10 [CFG],0.10 [CFG],0.10 [CFG],0.10 [CFG],0.10 [CFG],"risk_label_config.buy_rules.max_stop_distance_pct · step5_proposal_engine.py:283-286,770 · default_configs.py:415 (now seeded explicitly; previously only a hardcoded fallback) — universal, does not vary by setup_type/preset, so the setup_config copy above never actually tightens anything even for the ‘strict’ presets"
Target / R:R — Own computed version per family; no equivalent for consolidation_base,,,,,,,,,,,,
Target / R:R,target_room / target_is_structural / resistance_blocks,Used [COMP],Used [COMP],Used [COMP],"Used, 3-tier bucket [COMP]/[HC]","Used, 3-tier bucket [COMP]/[HC]","Used, 3-tier bucket [COMP]/[HC]",Used [COMP],Used [COMP],—,—,breakout:503-520 · pullback:793-811 · trend:1087-1101
Breakout — validate_breakout(),,,,,,,,,,,,
Breakout — validate_breakout(),resistance_level must exist (not NULL/≤0),Hard fail 'no_resistance_level' [COMP],Hard fail 'no_resistance_level' [COMP],Hard fail 'no_resistance_level' [COMP],—,—,—,—,—,—,—,m14_setup_validators.py:385-411
Breakout — validate_breakout(),breakout_prox_min / breakout_prox_max,-1.0 / 0.5 [CFG],-0.05 / 0.5 [CFG],-0.05 / 0.3 [CFG],—,—,—,—,—,—,—,m14_setup_validators.py:426-433
Breakout — validate_breakout(),min_base_duration (range_duration floor),10 [CFG],20 [CFG],35 [CFG],—,—,—,—,—,—,—,m14_setup_validators.py:436-439
Breakout — validate_breakout(),min_close_strength,Removed — was dead [DEAD],Removed — was dead [DEAD],Removed — was dead [DEAD],—,—,—,—,—,—,—,"REMOVED 2026-07-07 (CODER_NOTE v3 item 5) — was extracted at m14_setup_validators.py:352 but never used; proven byte-identical before removal, then deleted along with the dead extraction line"
Breakout — validate_breakout(),Close-strength score → breakout_confirmation (40% blend),Used [COMP],Used [COMP],Used [COMP],—,—,—,—,—,—,—,m14_setup_validators.py:479-483
Breakout — validate_breakout(),Relative-strength filter (O'Neil RS line criterion),N/A — not representable in code [DEAD],N/A — not representable in code [DEAD],N/A — not representable in code [DEAD],—,—,—,—,—,—,—,"PRESET_SETUP_CONFIGS module note, default_configs.py:190-193 — validate_breakout() reads no RS feature at all"
Breakout — validate_breakout(),Scoring weights: resistance_clarity .20 / breakout_confirmation .25 / volume_expansion .20 / base_quality .20 / target_room .15,Used [CFG],Used [CFG],Used [CFG],—,—,—,—,—,—,—,"default_configs.py:73-78, 224, 252"
Pullback — validate_pullback(),,,,,,,,,,,,
Pullback — validate_pullback(),"close_adj > ema200 (uptrend context, hard, fails on missing data)",—,—,—,Hard [HC],Hard [HC],Hard [HC],—,—,—,—,m14_setup_validators.py:687-691
Pullback — validate_pullback(),"ema20 > ema50 (short-term trend, hard)",—,—,—,Hard [HC],Hard [HC],Hard [HC],—,—,—,—,m14_setup_validators.py:693-697
Pullback — validate_pullback(),max_pullback_depth (pullback_depth_pct ceiling),—,—,—,0.12 [CFG],"0.08 — shallow, first-dip entry [CFG]","0.15 — deep, Fib-zone entry [CFG]",—,—,—,—,m14_setup_validators.py:700-705
Pullback — validate_pullback(),support_break_tol,—,—,—,0.02 [CFG],0.02 [CFG],"0.04 — wider, matches deeper depth [CFG]",—,—,—,—,m14_setup_validators.py:708-714
Pullback — validate_pullback(),"pull_band (EMA20 proximity band, soft)",—,—,—,0.04 [CFG],0.04 [CFG],0.04 [CFG],—,—,—,—,m14_setup_validators.py:764-765
Pullback — validate_pullback(),rebound_required / min_rebound_slope,—,—,—,"Hard, True / 0.002 [CFG]","Hard, True / 0.002 [CFG]","Hard, True / 0.002 [CFG]",—,—,—,—,fixed 2026-07-07 — now seeded explicitly in every pullback config incl. presets · m14_setup_validators.py:716-725
Pullback — validate_pullback(),Swing-low guard (swing_low ≥ close_adj → nulled),—,—,—,Used [HC],Used [HC],Used [HC],—,—,—,—,pullback:669-671
Pullback — validate_pullback(),trend_structure score bands (80/60/30/neutral 50),—,—,—,Soft [HC],Soft [HC],Soft [HC],—,—,—,—,m14_setup_validators.py:782-789
Pullback — validate_pullback(),Scoring weights: uptrend_intact .25 / support_ema_hold .25 / pullback_depth .20 / trend_structure .15 / rr .15,—,—,—,Used [CFG],Used [CFG],Used [CFG],—,—,—,—,"default_configs.py:102-106, 342, 368"
Trend Continuation — validate_trend_continuation(),,,,,,,,,,,,
Trend Continuation — validate_trend_continuation(),min_ema_alignment (ema_alignment_score floor),—,—,—,—,—,—,50 [CFG],80 — stand-in for O'Neil/Minervini 50>150>200MA stack (no 150MA field exists) [CFG],—,—,m14_setup_validators.py:992-997
Trend Continuation — validate_trend_continuation(),min_ema50_slope,—,—,—,—,—,—,0.0 [CFG],0.005 — firmly positive [CFG],—,—,m14_setup_validators.py:999-1003
Trend Continuation — validate_trend_continuation(),close_adj > ema50 (hard),—,—,—,—,—,—,Hard [HC],Hard [HC],—,—,m14_setup_validators.py:1005-1009
Trend Continuation — validate_trend_continuation(),"close_adj > ema200 (hard, only when both present)",—,—,—,—,—,—,"Hard, conditional [HC]","Hard, conditional [HC]",—,—,m14_setup_validators.py:1011-1013
Trend Continuation — validate_trend_continuation(),roc_min / roc_max (ROC20 range gate),—,—,—,—,—,—,0.02 / 0.40 [CFG],0.02 / 0.35 [CFG],—,—,m14_setup_validators.py:1016-1019
Trend Continuation — validate_trend_continuation(),max_ext (extension-from-EMA50 ceiling),—,—,—,—,—,—,0.15 [CFG],0.12 — less overextended [CFG],—,—,m14_setup_validators.py:1021-1026
Trend Continuation — validate_trend_continuation(),Relative strength vs. SPY — hard requirement (O'Neil/Minervini RS),—,—,—,—,—,—,N/A — no hard gate exists [DEAD],"Approximated via scoring weight only, not a true hard gate [DEAD]/[COMP]",—,—,"PRESET_SETUP_CONFIGS module note, default_configs.py:194-199 — relative_strength is scoring-only, no hard RS gate exists in code"
Trend Continuation — validate_trend_continuation(),Scoring weights: trend_health .25 / relative_strength .20→.30 / extension .15→.10 / momentum .20 / volume_health .10→.05 / target_room .10,—,—,—,—,—,—,Used [CFG],"Used, RS-weighted variant [CFG]",—,—,"default_configs.py:133-139, 309-316"
"Consolidation Base — validate_consolidation_base() — Fixed 2026-07-07: ticker_report.py's dashboard explain-view read 3 wrong config key names for this setup type (min_base_duration/min_range_tightness_score/earnings_avoidance_days instead of min_range_duration/min_tightness/min_earnings_days), so these checks always rendered as “—”; the validator itself always used the correct keys below",,,,,,,,,,,,
Consolidation Base — validate_consolidation_base(),min_tightness (range_tightness_score floor),—,—,—,—,—,—,—,—,60 [CFG],"75 — tighter, Minervini VCP coil [CFG]",m14_setup_validators.py:1263-1269
Consolidation Base — validate_consolidation_base(),max_atr_pct (ATR% ceiling),—,—,—,—,—,—,—,—,0.05 [CFG],0.035 [CFG],m14_setup_validators.py:1271-1275
Consolidation Base — validate_consolidation_base(),base_high/base_low must exist + price-inside-base check,—,—,—,—,—,—,—,—,Hard [COMP]/[HC],Hard [COMP]/[HC],m14_setup_validators.py:1278-1289
Consolidation Base — validate_consolidation_base(),price_above_base_tolerance,—,—,—,—,—,—,—,—,"Hard, 0.01 [CFG]","Hard, 0.01 [CFG]",fixed 2026-07-07 — now seeded explicitly in both consolidation_base configs · m14_setup_validators.py:1282-1285
Consolidation Base — validate_consolidation_base(),min_range_duration (base duration floor),—,—,—,—,—,—,—,—,10 [CFG],15 — longer coil [CFG],m14_setup_validators.py:1291-1297
Consolidation Base — validate_consolidation_base(),"min_earnings_days (own hard gate, distinct from shared soft penalty)",—,—,—,—,—,—,—,—,5 [CFG],5 [CFG],m14_setup_validators.py:1299-1304
Consolidation Base — validate_consolidation_base(),enforce_compression_floor (opt-in gate for the two rows below),—,—,—,—,—,—,—,—,"False (opt-in, not enabled) [CFG]","False (opt-in, not enabled) [CFG]","fixed 2026-07-07 (CODER_NOTE v3 item 2, option b) — new flag, default False everywhere; freezes v1's live behavior, must be flipped True on a newly-cloned+activated version to take effect · m14_setup_validators.py:1236-1240"
Consolidation Base — validate_consolidation_base(),min_compression (atr_compression_score floor),—,—,—,—,—,—,—,—,"50, enforced only if flag=True [CFG]","65, enforced only if flag=True [CFG]",fixed 2026-07-07 — now a real hard gate when enforce_compression_floor=True (previously extracted but never used at all) · m14_setup_validators.py:1339-1345
Consolidation Base — validate_consolidation_base(),min_dry_up (volume_dry_up_score floor),—,—,—,—,—,—,—,—,"40, enforced only if flag=True [CFG]","55, enforced only if flag=True [CFG]",fixed 2026-07-07 — now a real hard gate when enforce_compression_floor=True (previously extracted but never used at all) · m14_setup_validators.py:1346-1352
Consolidation Base — validate_consolidation_base(),support_resistance_clarity score (separation>0.02 tiered),—,—,—,—,—,—,—,—,Soft [HC],Soft [HC],m14_setup_validators.py:1330-1338
Consolidation Base — validate_consolidation_base(),breakout_readiness score (position-in-base + proximity blend),—,—,—,—,—,—,—,—,Soft [COMP]/[HC],Soft [COMP]/[HC],m14_setup_validators.py:1346-1357
Consolidation Base — validate_consolidation_base(),"stop_tightness score (ideal 2–5%, centered 3.5%)",—,—,—,—,—,—,—,—,Soft [HC],Soft [HC],m14_setup_validators.py:1359-1365
Consolidation Base — validate_consolidation_base(),Scoring weights: range_tightness .25 / support_resistance_clarity .20 / atr_compression .20 / volume_dry_up .15 / breakout_readiness .10 / stop_tightness .10,—,—,—,—,—,—,—,—,Used [CFG],Used [CFG],"default_configs.py:165-171, 280"
LEGEND,HC = Hardcoded in source,CFG = Config object (DuckDB-backed),"COMP = Computed output, not a threshold","DEAD = Extracted/declared but never used, or removed as of 2026-07-07","SIM columns = simulation-only preset, active_flag=FALSE, never auto-seeded",,,,,,
